無題のフォーム-4
タイムスタンプ,Please tell us your gender. あなたの性別を教えてください。,Please tell us your occupation. 現在の職業を教えてください。,Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Reading ],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Writing],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Listening],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Speaking],Please tell us about your English learning before entering elementary school (multiple choice). 小学校入学前での英語への触れ方について教えてください（複数選択）。,Please tell us about your English learning after entering elementary school (multiple choice). 小学校入学後での英語への触れ方について教えてください（複数選択）。,Please tell us your highest CEFR (refer to the photo if necessary). あなたの最高CEFRを教えてください（任意で写真を参照）。,How  often did you use English(except  for English classes or tests)? 英語の授業やテスト以外で英語を使用した経験はどのくらいありますか？,How well does your family speak English? あなたの家族はどのくらい英語を話せますか？,How many hours in a week (in average) did you study English when you were a junior high school student? 中学生の時の英語の学習時間は、週平均何時間でしたか？,How many hours in a week (in average) did you study English when you were a high school student? 高校生の時の英語の学習時間は、週平均何時間でしたか？,Do you think learning English before elementary school is useful? 小学生以前の英語学習は役に立つと思いますか？,How much independent exposure have you had to the English language so far?  これまでどの程度自主性を持って触れてきましたか（学校の英語の予習・復習や塾、英会話など）。
2023/01/04 10:29:02 午後 GMT+9,male 男性,university student 大学生,3,3,2,2,アニメ/映画等,学校,B1,週に4~5回,ほとんど話せないが単語のみなら可能,1くらい,2くらい,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/04 10:29:20 午後 GMT+9,female 女性,university student 大学生,4,5(得意）,2,3,特になし,学校,B1,月に3~4回,ほとんど話せないが単語のみなら可能,15時間,20-25時間,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/04 10:31:07 午後 GMT+9,male 男性,university student 大学生,3,3,1(苦手）,1(苦手）,特に無し,特に無し,無し,ほとんどない,簡単な会話なら可能,2時間,3時間,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/04 10:32:49 午後 GMT+9,male 男性,university student 大学生,2,2,4,3,英会話,英会話;学校,B1,月に3~4回,ほとんど話せないが単語のみなら可能,4 hours,4 hours,どちらかというと役に立たないと思う,どちらかというと自主性を持ってこなかった
2023/01/04 10:34:30 午後 GMT+9,male 男性,university student 大学生,3,4,3,1(苦手）,英会話,英会話;英検/英検Jr.;学校;塾,B1,ほとんどない,簡単な会話なら可能,2,5,どちらかというと役に立つと思う,全く自主性を持ってこなかった
2023/01/04 10:36:22 午後 GMT+9,female 女性,university student 大学生,1(苦手）,1(苦手）,1(苦手）,1(苦手）,なし,学校,A2,ほとんどない,ほとんど話せないが単語のみなら可能,0,7,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/04 10:43:54 午後 GMT+9,female 女性,university student 大学生,3,4,5(得意）,2,英会話;アニメ/映画等;絵本等,英会話;学校;塾,B1,ほとんどない,日常会話が可能,2時間,3時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/04 11:20:33 午後 GMT+9,female 女性,university student 大学生,4,2,3,1(苦手）,英会話;アニメ/映画等;絵本等,アニメ/映画等;本;学校,B1,ほとんどない,簡単な会話なら可能,5,10,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/04 11:42:21 午後 GMT+9,female 女性,university student 大学生,4,2,3,1(苦手）,なし,英会話;英検/英検Jr.;学校;塾,C1,毎日,海外でも不自由なく生活できる程度,7,21,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/05 12:16:49 午前 GMT+9,male 男性,university student 大学生,4,3,2,2,英会話,英会話;学校;塾,b1,ほとんどない,ほとんど話せないが単語のみなら可能,4時間,8時間,とても役に立つと思う,どちらかというと自主性を持ってきた
