,TIME_STAMP,GENDER,OCCUPATION,READING,WRITING,LISTENING,SPEAKING,CEFR,EXPERIENCE EXCEPT SCHOOL,ENGLISH OF FAMILY,AVG_JUNIOR_HIGH,AVG_HIGH,USEFUL,EXPOSURE,B_なし,B_アニメ/映画等,B_塾,B_幼稚園,B_海外,B_絵本等,B_英会話,B_英検/英検Jr.,B_音楽,A_なし,A_アニメ/映画等,A_塾,A_学校,A_海外,A_音楽,A_英会話,A_英検/英検Jr.
0,2023/01/04 10:29:02 午後 GMT+9,M,university,3,3,2,2,B1,4,2,1.0,2.0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2023/01/04 10:29:20 午後 GMT+9,F,university,4,5,2,3,B1,2,2,15.0,22.5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2023/01/04 10:31:07 午後 GMT+9,M,university,3,3,1,1,,1,3,2.0,3.0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2023/01/04 10:32:49 午後 GMT+9,M,university,2,2,4,3,B1,2,2,4.0,4.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4,2023/01/04 10:34:30 午後 GMT+9,M,university,3,4,3,1,B1,1,3,2.0,5.0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
5,2023/01/04 10:36:22 午後 GMT+9,F,university,1,1,1,1,A2,1,2,0.0,7.0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2023/01/04 10:43:54 午後 GMT+9,F,university,3,4,5,2,B1,1,4,2.0,3.0,4,2,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
7,2023/01/04 11:20:33 午後 GMT+9,F,university,4,2,3,1,B1,1,3,5.0,10.0,2,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
8,2023/01/04 11:42:21 午後 GMT+9,F,university,4,2,3,1,C1,5,5,7.0,21.0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
9,2023/01/05 12:16:49 午前 GMT+9,M,university,4,3,2,2,B1,1,2,4.0,8.0,4,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10,2023/01/05 7:17:51 午前 GMT+9,M,university,4,1,2,1,B2,1,1,1.0,1.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,2023/01/05 7:58:10 午前 GMT+9,F,university,3,4,3,4,B1,1,1,5.0,10.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
12,2023/01/05 8:36:43 午前 GMT+9,F,university,3,2,3,1,B2,1,3,8.0,12.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2023/01/05 9:49:02 午前 GMT+9,F,university,3,2,4,3,B1,1,3,6.0,6.0,3,3,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
14,2023/01/05 9:54:28 午前 GMT+9,F,university,3,2,2,2,,5,5,4.0,6.0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
15,2023/01/05 12:40:58 午後 GMT+9,F,university,3,2,4,3,B1,1,3,5.0,5.0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2023/01/05 12:58:15 午後 GMT+9,F,university,3,2,1,1,B2,1,2,3.0,5.0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
17,2023/01/05 2:13:03 午後 GMT+9,F,university,4,2,3,1,B1,1,2,2.0,3.0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,2023/01/05 5:58:31 午後 GMT+9,M,university,2,2,2,1,,1,4,0.25,0.5,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2023/01/05 6:34:00 午後 GMT+9,F,professional student,1,1,1,4,,2,3,15.0,7.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,2023/01/05 6:37:46 午後 GMT+9,M,others,2,3,2,3,B2,1,3,7.0,10.0,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
21,2023/01/05 6:39:08 午後 GMT+9,F,university,2,2,2,1,B2,1,3,15.0,30.0,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
22,2023/01/05 6:41:29 午後 GMT+9,M,university,3,2,3,3,B1,1,1,10.0,30.0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
23,2023/01/05 6:56:20 午後 GMT+9,F,university,2,3,2,3,B2,1,3,1.0,2.5,3,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
24,2023/01/05 7:09:06 午後 GMT+9,F,university,2,3,3,3,B1,1,2,10.0,10.0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
25,2023/01/05 7:10:25 午後 GMT+9,M,university,3,2,4,2,A2,2,2,7.0,14.0,2,2,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0
26,2023/01/05 7:12:42 午後 GMT+9,M,university,2,1,2,2,B1,1,1,1.5,1.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,2023/01/05 7:19:46 午後 GMT+9,M,university,3,2,2,1,,2,2,8.0,10.0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28,2023/01/05 8:13:06 午後 GMT+9,M,university,3,3,4,4,B2,3,1,2.0,2.0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
